#------------------------------------------------------------#
# EXAMPLE DATA
# When loading with CSV.jl, provide the `comment="#"` option.
#
# System size                  L = 20:10:60
# Time between samples in MCS  tau = 10 
# Number of samples            N = 50_000
#------------------------------------------------------------#
L,T,e,e2,m,m2,m4,absem
30,2.1262626262626263,-1471.41464,2.16936614688e6,0.18176231111111107,0.7283287028148148,0.5390311000116967,0.8513305777777778
40,2.1262626262626263,-2617.69736,6.85986694304e6,-0.8532641249999999,0.72974350996875,0.5370980604081399,0.8532641249999999
50,2.1262626262626263,-4088.93928,1.673115430112e7,-0.85293824,0.7285906870528001,0.533847490873822,0.85293824
60,2.1262626262626263,-5888.23128,3.468831861024e7,-0.8528280333333331,0.7280797927839507,0.5322520758869851,0.8528280333333331
20,2.1313131313131315,-652.17792,427257.31008,-0.6344286,0.7285189680000002,0.5466712215026999,0.8493516
30,2.1313131313131315,-1466.97152,2.15635163008e6,-0.8492299111111111,0.7243876820740741,0.5329115434320754,0.8492299111111111
40,2.1313131313131315,-2608.11832,6.81002190944e6,-0.849278275,0.7231111078437499,0.5278061779742036,0.849278275
50,2.1313131313131315,-4077.56168,1.663841750752e7,-0.8506688960000001,0.7247039433984,0.5281633820069386,0.8506688960000001
60,2.1313131313131315,-5869.47984,3.446808101376e7,-0.8497254777777777,0.7228089847098765,0.5246276786295293,0.8497254777777777
20,2.1363636363636362,-650.11504,424594.66624,-0.7602428,0.7249198199999999,0.5412167307081,0.8473566
30,2.1363636363636362,-1462.19432,2.14244197856e6,-0.8456141333333334,0.7186384023703701,0.5251219313207426,0.845615377777778
40,2.1363636363636362,-2598.12216,6.75830437408e6,-0.8446819,0.7157088968750001,0.5178501996122211,0.8446819
50,2.1363636363636362,-4062.48992,1.651611745472e7,-0.8462438560000001,0.7173449428352,0.5178820361609796,0.8462438560000001
60,2.1363636363636362,-5850.71072,3.424862463104e7,-0.8466533222222222,0.717628630154321,0.5172372683429977,0.8466533222222222
20,2.1414141414141414,-648.12728,422053.83648,0.4712237,0.7184006275,0.5328834321422874,0.8430492999999999
30,2.1414141414141414,-1457.22152,2.12801782112e6,-0.8422483555555557,0.7131555219753085,0.5177249587800299,0.8422483555555557
40,2.1414141414141414,-2590.88016,6.720657744e6,-0.8427018249999999,0.71213287315625,0.5123514334200152,0.8427018249999999
50,2.1414141414141414,-4049.01168,1.640701138688e7,-0.8423511840000001,0.7108792689023999,0.5089205505325318,0.8423511840000001
60,2.1414141414141414,-5828.3688,3.398838799808e7,-0.8419272888888889,0.7098335102098764,0.5065288805463728,0.8419272888888889
20,2.1464646464646466,-645.08832,418242.34112,-0.2073962,0.709730308,0.5229571801071999,0.836747
30,2.1464646464646466,-1452.58776,2.11465126112e6,-0.8388325333333333,0.7075701449876542,0.5101376562505912,0.8388325333333333
40,2.1464646464646466,-2582.0568,6.67530676928e6,-0.838570675,0.70550081465625,0.5035609714556711,0.838570675
50,2.1464646464646466,-4033.51504,1.628225323008e7,-0.837854176,0.7037090026752,0.4994972031556166,0.837854176
60,2.1464646464646466,-5807.8964,3.375058412768e7,-0.8375857222222223,0.7026304362901233,0.4965882000746801,0.8375857222222223
20,2.1515151515151514,-642.84968,415396.568,-0.18428039999999998,0.7044848690000001,0.5161774133293249,0.8331997999999998
30,2.1515151515151514,-1446.5504,2.09742081536e6,-0.8328715111111111,0.699342774419753,0.5002427099640386,0.8330857333333334
40,2.1515151515151514,-2572.82216,6.6278983888e6,-0.8343722,0.698630170125,0.4942781668066669,0.8343722
50,2.1515151515151514,-4019.16496,1.616694145152e7,-0.834236384,0.6975142876671999,0.4906164038620347,0.834236384
60,2.1515151515151514,-5788.61912,3.352748331936e7,-0.8342449444444444,0.6971645578827159,0.4891870895075612,0.8342449444444444
20,2.1565656565656566,-641.15408,413196.43904,0.09067460000000002,0.7010542329999999,0.510600678685525,0.831744
30,2.1565656565656566,-1440.81088,2.08094429376e6,0.35549693333333343,0.6913905843950616,0.4900642895460468,0.8280372888888891
40,2.1565656565656566,-2563.01024,6.57771098624e6,-0.8305665,0.6923486599374999,0.4856930056082514,0.8305665
50,2.1565656565656566,-4005.57792,1.605831049536e7,-0.8303181119999999,0.6911795068415999,0.4821824691694956,0.8303181119999999
60,2.1565656565656566,-5768.31456,3.329281203456e7,-0.8305880999999999,0.691088343080247,0.48075488469627803,0.8305880999999999
20,2.1616161616161618,-638.64424,410087.4352,-0.1935007,0.6940627274999999,0.5022747171829873,0.8269695
30,2.1616161616161618,-1436.18128,2.06761867264e6,0.5180620000000001,0.6859939910123457,0.48222850580272175,0.8251114222222223
40,2.1616161616161618,-2552.36504,6.52356900448e6,0.04307357500000006,0.6828546375312499,0.4740103945650434,0.824266475
50,2.1616161616161618,-3990.2924,1.593653689952e7,-0.4757454079999999,0.6831948638208001,0.472409968207541,0.8248668479999999
60,2.1616161616161618,-5747.10928,3.304920286016e7,-0.8261922555555554,0.6838841101666666,0.4710224091339438,0.8261922555555554
20,2.1666666666666665,-635.6044,406285.68544,0.08081179999999996,0.684788613,0.49136120286352497,0.8203052000000001
30,2.1666666666666665,-1431.53992,2.05438894816e6,0.10241702222222222,0.6814689304691358,0.47629745107725036,0.8221209333333332
40,2.1666666666666665,-2545.37984,6.48795373888e6,-0.82260195,0.6797328779375,0.469230532726136,0.82260195
50,2.1666666666666665,-3976.98352,1.58303580736e7,-0.822786112,0.6787788713984,0.4653124734697162,0.822786112
60,2.1666666666666665,-5723.75112,3.278156442336e7,-0.8217257111111111,0.6765816316666666,0.4612198160777768,0.8217257111111111
20,2.1717171717171717,-633.77952,403946.448,-0.3921124,0.681258452,0.48605718096574996,0.8185846000000001
30,2.1717171717171717,-1426.60696,2.04041061088e6,0.13008688888888886,0.6756442803950616,0.46860512565107754,0.8185718666666667
40,2.1717171717171717,-2533.47976,6.42781950496e6,-0.8158348749999998,0.66921021778125,0.4560854799504837,0.8158348749999998
50,2.1717171717171717,-3960.0116,1.569613228448e7,-0.81676712,0.6692893019007999,0.4532915780892271,0.81676712
60,2.1717171717171717,-5704.12888,3.255795031584e7,-0.8177930777777778,0.6702142611543208,0.4528085340737927,0.8177930777777778
20,2.176767676767677,-631.00792,400526.43424,-0.09885409999999999,0.6725739955,0.47645949598858744,0.8119413000000001
30,2.176767676767677,-1419.72936,2.02102507552e6,-0.8124282666666668,0.666404188641975,0.4572481913480028,0.8124439111111112
40,2.176767676767677,-2525.74688,6.38891721216e6,-0.6114901750000001,0.6646780137187499,0.4505392782454021,0.812772525
50,2.176767676767677,-3942.47496,1.55581634416e7,-0.8108076320000001,0.6600468614784,0.4418231023509875,0.8108076320000001
60,2.176767676767677,-5679.786,3.228123587488e7,-0.8122625555555556,0.6613831407407407,0.4414177659841439,0.8122625555555556
20,2.1818181818181817,-628.10696,396974.74976,-0.07832149999999999,0.6642320295,0.46701926431818747,0.8059269
30,2.1818181818181817,-1414.5768,2.00651671232e6,0.25156866666666666,0.6590221280987654,0.4486820265384887,0.8073588
40,2.1818181818181817,-2514.21936,6.3309682336e6,-0.807451225,0.65573761340625,0.4386222795835322,0.807451225
50,2.1818181818181817,-3928.77144,1.545062296992e7,-0.807080656,0.6539840991104,0.4338420550587958,0.807080656
60,2.1818181818181817,-5659.27728,3.204932109312e7,-0.8085202666666668,0.6552813978765432,0.4333161015622282,0.8085202666666668
20,2.186868686868687,-626.256,394655.40672,0.09198729999999998,0.6601050515000001,0.46154629500968747,0.8035829
30,2.186868686868687,-1407.57168,1.9870354016e6,0.21530431111111112,0.6479319436049382,0.4365023242355558,0.7991013777777778
40,2.186868686868687,-2505.77664,6.28880159552e6,-0.8041216500000001,0.65041956275,0.4317112624237467,0.8041216500000001
50,2.186868686868687,-3911.2412,1.531345089056e7,-0.80104552,0.6447852303488,0.42264884889663384,0.80104552
60,2.186868686868687,-5632.6652,3.174964641632e7,-0.8012974333333335,0.6441590730432097,0.4198205630727912,0.8012974333333335
20,2.191919191919192,-623.13136,390825.02912,-0.06863699999999998,0.6520637189999999,0.4523575778730749,0.7975244
30,2.191919191919192,-1401.17224,1.9691694352e6,0.05643017777777779,0.6389564700246912,0.4255226249669507,0.7932258222222222
40,2.191919191919192,-2492.40328,6.22238067872e6,-0.7963480500000001,0.638677123125,0.4178369411709006,0.7963480500000001
50,2.191919191919192,-3892.77304,1.517016571808e7,-0.794024736,0.63391733952,0.4094168086049128,0.794024736
60,2.191919191919192,-5608.01784,3.147347535712e7,-0.7948392777777777,0.6342095482901234,0.4077691705631392,0.7948392777777777
20,2.196969696969697,-620.892,388093.82016,0.20486990000000002,0.6449044774999999,0.44432443544963746,0.7924966999999999
30,2.196969696969697,-1395.45512,1.95325328544e6,-0.7736617333333334,0.6326902675555555,0.41751499507357004,0.7895676888888888
40,2.196969696969697,-2480.61936,6.1642417536e6,-0.2915683249999999,0.62683924334375,0.4048890124673341,0.787795675
50,2.196969696969697,-3875.50808,1.503640428384e7,-0.787476752,0.6242193001599999,0.39819062288757634,0.787476752
60,2.196969696969697,-5581.7904,3.118103661248e7,-0.7885512,0.6244868934444444,0.3960005135152096,0.7885512
20,2.202020202020202,-617.694,384159.08832,0.0949784,0.636063064,0.43354605693369996,0.7866061999999999
